Review ID,Region,Country/Market,Platform,Source Website,Source URL,Date Accessed,Review Date,Rating,Language,Original Review Text,Translation/Summary,Service Category,AI/Digital Touchpoint,Trust Theme,Trust Valence,Short Evidence Quote,Research Notes
R001,Asia,China,58到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1574147199/sortby=mostrecent/json,2026-06-16,2026-06-13,1,Chinese,服务人员态度极差. 上门工作人员态度一般就算了，连客服就垃圾,App Store review (1/5) concerning Customer support and Responsiveness.,Domestic/home service platform,Customer support,Responsiveness,Negative,服务人员态度极差. 上门工作人员态度一般就算了，连客服就垃圾,Automatically collected from public App Store RSS; verify before using direct quotations.
R002,Asia,China,天鹅到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=897342825/sortby=mostrecent/json,2026-06-16,2026-06-01,1,Chinese,月嫂差劲. 真是遇到网上那种需要避雷的月嫂了。欺负人，一手抱着孩子一手玩手机然后使唤我一个没出月子的产妇说孩子快到吃奶时间了，你去把奶泡上。披头散发的躺在我家最舒服的地方特别自然的占着位置，抱着孩子俩手玩手机，。甚至早上不给我做早饭，孩子交给我婆婆，说自己困了要去睡觉，把门一关就去睡觉了。特别会使唤我家里人，厨房做完饭也不收拾就在那一躺。我让她下户她还问我啥原因,App Store review (1/5) concerning Booking/scheduling and Safety-Privacy.,Domestic/home service platform,Booking/scheduling,Safety-Privacy,Negative,月嫂差劲. 真是遇到网上那种需要避雷的月嫂了。欺负人，一手抱着孩子一手玩手机然后使唤我一个没出月子的产妇说孩子快到吃奶时间了，你去把奶泡上。披头散发的躺在我家最,Automatically collected from public App Store RSS; verify before using direct quotations.
R003,Asia,China,轻喜到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1550723001/sortby=mostrecent/json,2026-06-16,2026-06-02,5,Chinese,专业. 用了这个平台一阵子了，阿姨大部分都挺认真负责的。看工作流程，都是经过专业培训的，而且上门很守时。如果可以让阿姨再稳定一些就更好了！另外的家电清洗服务也很不错！,App Store review (5/5) concerning Matching/dispatch and Reliability.,Domestic/home service platform,Matching/dispatch,Reliability,Positive,专业. 用了这个平台一阵子了，阿姨大部分都挺认真负责的。看工作流程，都是经过专业培训的，而且上门很守时。如果可以让阿姨再稳定一些就更好了！另外的家电清洗服务也很,Automatically collected from public App Store RSS; verify before using direct quotations.
R004,Asia,China,阿姨帮,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=683700520/sortby=mostrecent/json,2026-06-16,2026-01-31,5,Chinese,问题解决. 已退款,App Store review (5/5) concerning Payment/refund/cancellation and Service Recovery.,Domestic/home service platform,Payment/refund/cancellation,Service Recovery,Positive,问题解决. 已退款,Automatically collected from public App Store RSS; verify before using direct quotations.
R005,Asia,China,美团,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=423084029/sortby=mostrecent/json,2026-06-16,2026-06-15,1,Chinese,垃圾. 垃圾，尤其是骑车，让你开卡然后不让用，等过期，找客服，客服不管，太垃圾了，赶紧倒闭吧,App Store review (1/5) concerning Customer support and Responsiveness.,Domestic/home service platform,Customer support,Responsiveness,Negative,垃圾. 垃圾，尤其是骑车，让你开卡然后不让用，等过期，找客服，客服不管，太垃圾了，赶紧倒闭吧,Automatically collected from public App Store RSS; verify before using direct quotations.
R006,Asia,China,58到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1574147199/sortby=mostrecent/json,2026-06-16,2026-06-06,1,Chinese,投诉电话是空号，找客服，客服问我要点单编号，订单编号是搜不到，全是套路. 投诉电话是空号，找客服，客服问我要点单编号，订单编号是搜不到，全是套路,App Store review (1/5) concerning Customer support; Booking/scheduling and Service Recovery.,Domestic/home service platform,Customer support; Booking/scheduling,Service Recovery,Negative,投诉电话是空号，找客服，客服问我要点单编号，订单编号是搜不到，全是套路. 投诉电话是空号，找客服，客服问我要点单编号，订单编号是搜不到，全是套路,Automatically collected from public App Store RSS; verify before using direct quotations.
R007,Asia,China,天鹅到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=897342825/sortby=mostrecent/json,2026-06-16,2026-04-15,1,Chinese,阿姨服务非常差. 该丢的垃圾全不丢，拖地也不脱，就拿刮子刮了一下什么事情都要问不推荐！没有客服差评！,App Store review (1/5) concerning Customer support; Matching/dispatch and Responsiveness.,Domestic/home service platform,Customer support; Matching/dispatch,Responsiveness,Negative,阿姨服务非常差. 该丢的垃圾全不丢，拖地也不脱，就拿刮子刮了一下什么事情都要问不推荐！没有客服差评！,Automatically collected from public App Store RSS; verify before using direct quotations.
R008,Asia,China,轻喜到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1550723001/sortby=mostrecent/json,2026-06-16,2026-05-28,5,Chinese,不错. 搬家后一直用这家 用过的每个服务人员都还不错的 尽职尽责 麻利干净 值得推荐,App Store review (5/5) concerning General platform/service experience and General trust.,Domestic/home service platform,General platform/service experience,General trust,Positive,不错. 搬家后一直用这家 用过的每个服务人员都还不错的 尽职尽责 麻利干净 值得推荐,Automatically collected from public App Store RSS; verify before using direct quotations.
R009,Asia,China,阿姨帮,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=683700520/sortby=mostrecent/json,2026-06-16,2026-01-26,1,Chinese,一家没有任何服务的公司. 客服电话永远打不通。在线联系可以，但是就是不退费。在线的答应的好好的两周退，两个月都不退。已卸载。,App Store review (1/5) concerning Payment/refund/cancellation; Customer support and Service Recovery.,Domestic/home service platform,Payment/refund/cancellation; Customer support,Service Recovery,Negative,一家没有任何服务的公司. 客服电话永远打不通。在线联系可以，但是就是不退费。在线的答应的好好的两周退，两个月都不退。已卸载。,Automatically collected from public App Store RSS; verify before using direct quotations.
R010,Asia,China,美团,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=423084029/sortby=mostrecent/json,2026-06-16,2026-06-14,1,Chinese,吃相让人恶心. 选酒店给号封了，咋了怕你们平台价格比不上别家的吗，祝你们早日倒闭哈,App Store review (1/5) concerning Payment/refund/cancellation and Transparency.,Domestic/home service platform,Payment/refund/cancellation,Transparency,Negative,吃相让人恶心. 选酒店给号封了，咋了怕你们平台价格比不上别家的吗，祝你们早日倒闭哈,Automatically collected from public App Store RSS; verify before using direct quotations.
